source,target,type
file::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\main.py,func::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\main.py::run_checkout,CONTAINS
file::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\main.py,func::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\main.py::main,CONTAINS
func::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\main.py::main,func::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\main.py::run_checkout,CALLS
file::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\main.py,file::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\services\auth_service.py,IMPORTS
file::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\main.py,file::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\services\order_service.py,IMPORTS
file::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\repositories\order_repo.py,func::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\repositories\order_repo.py::save_order,CONTAINS
file::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\repositories\order_repo.py,func::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\repositories\order_repo.py::list_orders,CONTAINS
file::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\repositories\user_repo.py,func::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\repositories\user_repo.py::get_user_by_token,CONTAINS
file::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\services\auth_service.py,func::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\services\auth_service.py::get_authenticated_user,CONTAINS
func::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\services\auth_service.py::get_authenticated_user,func::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\repositories\user_repo.py::get_user_by_token,CALLS
file::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\services\auth_service.py,file::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\repositories\user_repo.py,IMPORTS
file::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\services\auth_service.py,file::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\utils\audit.py,IMPORTS
file::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\services\notification_service.py,func::C:\Users\ujjan\OneDrive\Desktop\python_projects\GGWave\Code-Dependency-Impact-Analyzer-For-Large-Codebases-\data\sample_code_scratch\services\notification_service.py::send_receipt_email,CONTAINS
